"id","code","name","date","status","substitute"
"account_italian_banks_abi_12930",12930,"MONTE TITOLI SPA","2013-02-28",0,0
"account_italian_banks_abi_12935",12935,"SECETI SPA - SERVIZI CENTRALIZZATI","2013-02-28",0,0
"account_italian_banks_abi_12940",12940,"ICCREA BANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_19103",19103,"ABF FACTORING","2013-02-28",0,0
"account_italian_banks_abi_19257",19257,"SARDALEASING LOCAZIONE FINANZIARIA","2013-02-28",0,0
"account_italian_banks_abi_19264",19264,"ABF LEASING SPA","2013-02-28",0,0
"account_italian_banks_abi_19275",19275,"COMPASS SPA","2013-02-28",0,0
"account_italian_banks_abi_19355",19355,"LEASINVEST SPA","2013-02-28",0,0
"account_italian_banks_abi_19432",19432,"EMILIA ROMAGNA FACTOR SPA","2013-02-28",0,0
"account_italian_banks_abi_21112",21112,"BARCLAYS BANK LONDON","2013-02-28",0,0
"account_italian_banks_abi_22001",22001,"J.P. MORGAN SECURITIES LTD","2013-02-28",0,0
"account_italian_banks_abi_22124",22124,"CREDIT SUISSE","2013-02-28",0,0
"account_italian_banks_abi_28127",28127,"ABF FACTORING SPA","2013-02-28",0,0
"account_italian_banks_abi_32669",32669,"ABF LEASING *","2013-02-28",0,0
"account_italian_banks_abi_32687",32687,"MUTINA SRL","2013-02-28",0,0
"account_italian_banks_abi_33425",33425,"BANCA POP. DELL'EMILIA ROMAGNA *","2013-02-28",0,0
"account_italian_banks_abi_33693",33693,"ESTENSE COVERED BOND SRL","2013-02-28",0,0
"account_italian_banks_abi_35046",35046,"AVIA PERVIA","2013-02-28",0,0
"account_italian_banks_abi_36000",36000,"CARTALIS IMEL SPA","2013-02-28",0,0
"account_italian_banks_abi_36001",36001,"MOBILMAT IMEL SPA","2013-02-28",0,0
"account_italian_banks_abi_36002",36002,"ISTITUTO DI MONETA ELETTRON.EUROPEO","2013-02-28",0,0
"account_italian_banks_abi_36014",36014,"C-CARD S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_36017",36017,"PAYTIPPER SPA","2013-02-28",0,0
"account_italian_banks_abi_36018",36018,"CABEL PER I PAGAMENTI I.P. SPA","2013-02-28",0,0
"account_italian_banks_abi_36024",36024,"CITYPOSTE PAYMENT SPA","2013-02-28",0,0
"account_italian_banks_abi_36033",36033,"MONEYNET SPA","2013-02-28",0,0
"account_italian_banks_abi_36040",36040,"INTERCARD FINANCE AD","2013-02-28",0,0
"account_italian_banks_abi_90000",90000,"CASSA DI COMPENSAZIONE","2013-02-28",0,0
